Kinases (NCBI_Gene_symbol),Entrez Gene_ID (Kinase),description,type_of_gene,map_location, Substrate (NCBI_Gene_symbol),Entrez Gene_ID (Substrate),description,type_of_gene,map_location
AAK1,22848,AP2 associated kinase 1,protein-coding,2p14,AP2M1,1173,"adaptor-related protein complex 2, mu 1 subunit",protein-coding,3q28
AAK1,22848,AP2 associated kinase 1,protein-coding,2p14,NUMB,8650,numb homolog (Drosophila),protein-coding,14q24.3
AAK1,22848,AP2 associated kinase 1,protein-coding,2p14,SOX2,6657,SRY (sex determining region Y)-box 2,protein-coding,3q26.3-q27
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CASP9,842,"caspase 9, apoptosis-related cysteine peptidase",protein-coding,1p36.21
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PLSCR1,5359,phospholipid scramblase 1,protein-coding,3q23
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ZAP70,7535,zeta-chain (TCR) associated protein kinase 70kDa,protein-coding,2q12
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,MDM4,4194,Mdm4 p53 binding protein homolog (mouse),protein-coding,1q32
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,EGFR,1956,epidermal growth factor receptor,protein-coding,7p12
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,RAPGEF1,2889,Rap guanine nucleotide exchange factor (GEF) 1,protein-coding,9q34.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ESR1,2099,estrogen receptor 1,protein-coding,6q25.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PSMA7,5688,"proteasome (prosome, macropain) subunit, alpha type, 7",protein-coding,20q13.33
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,YAP1,10413,Yes-associated protein 1,protein-coding,11q13
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CRK,1398,v-crk sarcoma virus CT10 oncogene homolog (avian),protein-coding,17p13.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CAT,847,catalase,protein-coding,11p13
