Approved	Alias
FAM95B1	FAM95B1
FSCB	DKFZP434F1017
AMELX	AMG
SEC11C	SC11C
NPHS2	PODO
IL6R	CD126
SKOR2	CORL2
SLC8B1	FLJ22233
TRIM69	TRIMLESS
GTF2H2B	GTF2H2B
FES	FPS
COPS9	CSN9
IGDCC3	HST18880
MIR2053	MIR2053
WWC2	FLJ22029
ITGAL	ITGAL
TPRA1	FLJ32197
GOLGA7B	GOLGA7B
NR5A2	FTZF1
TMEM126A	DKFZP586C1924
SNORA109	SNORA109
RPS24P7	RPS24P7
DHRS3	SDR1
DLG2AS1	SZ1
SYNPO	KIAA1029
GGTLC1	DJ831C21.1
HAVCR1	HAVCR1
NXT2	P152
MPP7	FLJ32798
IFT88	MGC26259
SNORD158	SNORD158
SNORC	C2ORF82
ABHD4	ABHD4
AGA	ASRG
XPO5	XPO5
MIR6888	HSAMIR6888
CEP55	CT111
GJB3	DFNA2
TMEM87B	FLJ14681
ATF6	ATF6
DDX4	VASA
ARHGEF7	BETAPIX
ENTPD6	DJ738P15.3
UCN	UCN
CSNK2A3	CSNK2A1P
YWHAZ	YWHAD
MTND6P36	MTND6P36
TUBB2A	TUBB2A
LINC02626	LINC02626
AP5B1	PP1030
MARK2	PAR1B
DENND4B	KIAA0476
AGGF1P1	AGGF1P1
RHAG	RHAG
LARS2	LARS2
PHF10	XAP135
TRAV3	TRAV3
H2AC10P	DJ34B20.2
GRAMD1A	GRAMD1A
MIR6762	MIR6762
COLEC11	MGC3279
COA1	C7ORF44
ZNF777	ZNF777
LRRK1	FLJ23119
SOCS7	NAP4
MRT26	MRT26
TANGO2	DKFZP761P1121
TMCO6	FLJ39769
ACAD9	ACAD9
BRF1	HBRF
FAS	FAS
CDC20	P55CDC
PNPLA8	IPLA2GAMMA
CCDC105	CC105
DGCR5	DGCR5
TRNGTT71	TRNAASNGTT71
TRBV101	TCRBV12S2
OFD1P16Y	OFD1PY16
LINC00184	HANC
MIR4269	MIR4269
TMPRSS11D	TMPRSS11D
SERTAD3	SERTAD3
RNU6936P	RNU6936P
PMS2	MLH4
SLC30A8	SLC30A8
COL6A4P1	VWA6
CTNNA3	CTNNA3
SARS2	M0QWZ7
PRKDC	HYRC1
ZNRD1ASP	HTEX4
RNU6735P	RNU6735P
PPAT	PUR1
NTSR1	NTR
AFG3L1P	AFG3
RAET1G	RAET1G
NDUFA6	LYRM6
VWCE	VWC1
SCELAS1	SCELAS1
BIRC5	BIRC5
ADAM3A	ADAM3
TMOD2	NTMOD
H2BC15	H2BC15
CCDC144A	FLJ43983
IFNLR1	IFNLR
PLPPR5	PLPPR5
TBC1D32	FLJ34235
DEFB116	DEFB116
HSPB1P1	HSPBL2
LRRC30	LRC30
HMGA1P3	HMGIYL3
TAL1	SCL
MOSPD2	MGC26706
RNU6408P	RNU6408P
H4C3	H4/G
NPM1P3	NG33
GRIN2C	NMDE3
GOLGA6L7	GG6L7
TM9SF1	G3V1B9
LRRN2	GAC1
DEFB116	DB116
C16ORF95	CP095
KCTD20	KCD20
DNTTIP1	DNTTIP1
TRPC4	TRPC4
PRSS3	PRSS3
IGLVI38	IGLVI38
F2RL1	F2RL1
CAND1	TIP120A
IFI44L	IFI44L
AMIGO3	AMIGO3
GHITM	TMBIM5
ARHGAP42	FLJ32810
TGOLN2	TGN38
JRKLAS1	JRKLAS1
CENPI	MIS6
ULK4P1	ULK4P1
USP30	FLJ40511
MLEC	MLEC
NOL4L	NOL4L
CKB	KCRB
NOL6	MGC20838
TRQCTG81	TRQCTG81
C8ORF37	RP64
FBXW8	FBX29
MIR4534	MIR4534
PLCZ1	NYDSP27
RNU7136P	RNU7136P
CARNMT1	C9ORF41
LTBP4	LTBP4
LINC01622	TCONS_00011202
METTL15	FLJ33979
DNAJC7	DNAJC7
SIK1	SIK1
MIA2	CTAGE5A
MAPK12	SAPK3
CALML3	CALML3
RABL6	PP8875
VHLL	VHLP
C6ORF163	C6ORF163
CSGALNACT2	GALNACT2
CRYGGP	CRYGGP
TTLL13P	FLJ46079
SGSM3	DJ1042K10.2
NANS	SIAS
SLC4A3	AE3
LINC00092	LINC00092
EGR1	TIS8
LLPHDT	LLPHAS1
ZNF23	KOX16
ANTXR1	TEM8
RPL21P76	RPL21P76
LINC00272	RP1223H12.3
LINC02281	LINC02281
TTNAS1	TTNAS1
TNKS	TIN1
GP2	GP2
CALM2	CALM2
ACTG1P2	ACTL2
SNRNP35	SNRNP35
MIR4476	HSAMIR4476
PPIAP22	PPIAL3
MRX24	MRX24
IGAD1	IGAD1
CA13	MGC59868
FCGRT	FCRN
MTND6P21	MTND6P21
BIRC3	API2
GJC2	SPG44
CGAS	MB21D1
LINC01936	LINC01936
CAMP	CAMP
CCDC40	CILD15
RHPN1	RHPN
TVP23CCDRT4	FAM18B2CDRT4
CORO2A	WDR2
ARGFXP2	ARGFXP2
FAM120AOS	F120S
RNU61059P	RNU61059P
MRPS28	RT28
LINC01098	LINC01098
ZFHX3	ZFHX3
ARHGAP10	GRAF2
ZNF233	FLJ38032
SBDS	SWDS
PRSS53	PRS53
WDR44	RPH11
MTND4LP15	MTND4LP15
SPN	GPL115
APBB2	FE65L
PSMD8	RPN12
ANKRD22	ANR22
ANAPC15	HSPC020
KRT8P9	KRT8P9
PNPLA4	DXS1283E
POGLUT1	MDSRP
SNORA62	RNE2
MIR6720	HSAMIR6720
PTPN13	PTPL1
RNU777P	U7.77
BABAM2	BABA2
SCUBE2	SCUBE2
ODF3L2	ODF3L2
MYT1L	NZF1
AIFM2	AIFM2
DDI2	MGC14844
CEP290	LCA10
LPAR2	EDG4
EXTL2P1	EXTL2P
PUS7P1	PUS7P1
ANXA2P3	ANX2P3
AURKB	AIK2
MIRLET7D	HSALET7D
SPRYD3	FLJ14800
TRIM37	TRIM37
STAB1	H7C4W7
LINC02742	LINC02742
CALCB	FLJ30166
SCYL1	NKTL
NPM1P7	NPMP7
TNRC6A	GW182
FERMT3	URP2
SNORA50C	SNORA50C
PPP1R16B	KIAA0823
TENT5B	MGC16491
ERAL1	ERAL1
TSTA3	FX
RABEP2	RABE2
BCL2L12	BCL2L12
SPDYE3	SPDE3
STXBP5L	STB5L
COMMD1	C2ORF5
OR1L4	OR9E
CNR2	CNR2
SEN6	SEN6
TRIM51DP	TRIM51DP
ZNF211	ZN211
FAM3A	DXS560S
PSMD4	S5A
TTLL4	KIAA0173
SMARCD1	SMARCD1
SPOCK3	TICN3
SLC45A3	IPCA2
MIR518B	MIRN518B
KCTD4	KCTD4
LY86AS1	LY86AS1
B3GAT1	GLCATP
H3F3BP1	H3F3BP1
MRPL10	RPML8
RN7SL292P	RN7SL292P
KIF6	DJ137F1.4
RPL39P30	RPL39P30
DNAJC22	DNAJC22
PPIL6	PPIL6
HM13IT1	HM13IT1
MUCL1	MUCL1
CGA	CGA
IL17RD	I17RD
ZNF517	ZN517
MIR3940	MIR3940
EBF4	RP5860F19.3
TM4SF1	M3S1
DIPK1B	DIPK1B
CHMP7	CHMP7
ARIH2OS	ARI2O
ARPP21AS1	ARPP21AS1
GPR37	PAELR
LINC01554	C5ORF27
MYMX	MINION
NDUFA9	NDUA9
OR6C2	OR6C67
ZNF18	ZNF535
TRBV17	TCRBV26S1P
HMGN2P15	HMGN2P15
SEPTIN9	MSF1
MIR3169	HSAMIR3169
MOGAT1	MOGT1
RNU6586P	RNU6586P
PPP1R15A	GADD34
CEP131	KIAA1118
BARHL1	BARH1
SLC25A37	MFRN
TRAPPC2B	TPC2B
CABIN1	CABIN1
DDX3X	DDX14
CDC42BPG	MRCKG
WASHC1	FAM39E
AOPEP	APO
GRAMD4P3	GRAMD4P3
SNORA16B	SNORA16B
ZNRD1	RPA12
CLEC4GP1	CLEC4GP1
PIAS2	PIAS2
RNU1112P	RNU1112P
CNOT3	NOT3
LINC00052	TMEM83
IGKV1OR221	IGKV1/OR221
CNDP2	CN2
RNU6908P	RNU6908P
CLUAP1	IFT38
MECOM	MDS1
MEFV	MEF
YTHDC1	KIAA1966
KRT8	CYK8
BCL7A	BCL7A
MTCO1P1	MTCO1P1
OR2H5P	HS6M113
HMGB1P42	HMGB1P42
SCZD7	SCZD7
RNU6892P	RNU6892P
ATXN7L2	ATXN7L2
SUB1	P14
RNA5SP120	RNA5SP120
PEX11A	MGC119947
MIR371A	MIR371A
KIR2DL1	P58.1
STK19B	STK19B
NMUR2	NMUR2
POLG2	DPOG2
LINC01909	LINC01909
CSN1S1	CSN1S1
CYP27C1	C27C1
IL7R	CD127
GFOD2	GFOD2
CCNL2	CCNL2
KCNJ5	LQT13
LARS1	FLJ10595
UNC13B	UNC13H2
CMPK1	CMPK
RN7SKP157	RN7SKP157
QRFPR	GPR103
ADO	C10ORF22
TBCK	MGC16169
TRFGAA51	TRNAF4
FAM197Y10	FAM197Y10
HAPLN2	HAPLN2
PKIB	IPKB
HHIPL2	FLJ13840
CATSPERG	C19ORF15
MIR4751	HSAMIR4751
ICOSLG	ICOSL
RPS5	RPS5
MIR1282	MIRN128B
MIR1200	MIRN1200
AP3S1	CLAPS3
BRWD1AS2	BRWD1AS2
SMIM3	MSTP150
TNFAIP3	OTUD7C
MIR42832	HSAMIR42832
DEK	DEK
IKZF5	PEGASUS
H2AC14	H2A/E
CCNYL1	CCYL1
ZBTB38	PPP1R171
SLC39A7	ZIP7
CYB561D2	CYB561D2
MESP1	MESP1
FBXO38	FBXO38
SEPTIN5	PNUTL1
LUZP6	MPD6
TCEAL3	TCAL3
MIR639	MIRN639
RNA5SP88	RN5S88
RBMX2P1	RBMX2P1
MID2	RNF60
BZW2	MSTP017
SLC25A38	S2538
ABL1	P150
ASXL2	FLJ10898
RPP38DT	RPP38DT
PTGDR	PTGDR
TMEM130	DKFZP761L1417
VPS11	VPS11
TCF23	BHLHA24
IL3	IL3
MAP3K19	MAP3K19
IP6K3	IHPK3
OR52M2P	OR52M4
FEZ1	UNC76
TRVTAC31	TRNAVALTAC31
TRBV63	TRBV63
GPX4	GPX4
SAP30LAS1	GALNT10AS1
OLR1	CLEC8A
LILRB3	LILRB3
PCARE	FLJ34931
SUMO1P3	SUMO1P3
TLX3	RNX
CXCL8	TSG1
TMEM236	TMEM236
LINC02857	LINC02857
MMP2	TBE1
DYDC2	MGC16186
NPIPB13	NPIPB13
DROSHA	ETOHI2
CBLC	CBL3
CHRNA4	EBN
SEPTIN1	PNUTL3
DGCR9	DGCR9
FRMPD1	KIAA0967
RNU69	U69
PC	PC
APP	A4
ZFP69	ZKSCAN23A
PCYOX1L	PCYXL
BABAM2	BABAM2
NDUFAF4	C6ORF66
PTP4A1P4	PTP4A1P4
MTCYBP42	MTCYBP42
C6ORF223	C6ORF223
FRMD1	FLJ22615
PCDHB4	PCDHBETA4
ZRANB3	ZRAB3
NBR1	CA125
MOGAT1	MOGAT1
SH3TC1	S3TC1
ARHGEF16	NBR
AKAP9	KIAA0803
MOV10	GB110
NETO2	FLJ10430
MIR6867	MIR6867
ITPRID1	ITPI1
TRPV4	CMT2C
FAM199X	FAM199X
CCDC63	FLJ35843
MIR29A	HSAMIR29
ZIC2	HPE5
CZIB	FLJ20580
TMCC1	KIAA0779
PPIAP9	EM:AC006046.3
PCDHB17P	PCDHB17P
BCS1L	HBCS
DYNC2H1	DYHC2
MAGEA1	MAGEA1
TMEM53	FLJ22353
SLC29A1	ENT1
SLC13A3	NADC3
ADM5	ADM5
SLC12A5AS1	RP11465L10.10
CLTB	CLTB
SNORA2C	SNORA2C
MTMR3	KIAA0371
EHMT2	KMT1C
PPIP5K1	KIAA0377
SCARNA27	SCARNA27
CHCHD10	CHCHD10
PPIAP82	PPIAP82
DSCAMIT1	DSCAMIT1
DKC1	NAP57
LINC01549	LINC01549
KHDC1	C6ORF147
RPS4XP9	RPS4P9
OR7D2	OR7D2
KLF3AS1	KLF3AS1
EIF3EP4	EIF3EP4
RHOXF1AS1	RHOXF1AS1
MUTYH	MYH
MIR31582	MIR31582
DEGS1	DES1
FILNC1	FILNC1
CENPQ	C6ORF139
CARS1P2	CARS1P2
LINC00161	C21ORF100
PIRC12	PIRC12
NSMCE2	MMS21
MIR3141	HSAMIR3141
PTGDR2	GPR44
TRKTTT91	TRNALYSTTT91
STOM	EPB72
RN7SL428P	RN7SL428P
LINC00668	LINC00668
KLHL7DT	KLHL7DT
TRAJ35	A0A075B6Y2
SEC16A	KIAA0310
TMEM202	TMEM202
SPRR2B	SPR2B
TRPCGG13	TRPCGG13
LINC01582	TCONS_00023827
ENTPD1	ENTPD1
GRM3	GRM3
KIZ	NCRNA00153
FUOM	FUCU
FCRL6P1	FCRL6P1
TRIM51GP	A0A3B3IT33
LINC01574	TCONS_00009551
C17ORF75	NJMU
ARNTL	ARNTL
EP300	EP300
DMXL2	RC3
ATPAF2	ATPF2
H3F3AP5	P55
MRPS5	S5MT
UBE2V2	UEV2
PODNL1	PONL1
POLR1D	RPO13
RPL13AP6	RPL13AP6
ZNF674	ZN674
ZSCAN12	ZNF305
HPCAL4	HPCAL4
CCDC177	C14ORF162
ESD	ESD
TERT	TCS1
PRKY	PRKY
ABCF2	HUSSY18
ANP32D	PP32R2
CCDC186	CC186
LINC01291	LINC01291
SLC3A1	D2H
RNA5SP35	RNA5SP35
ZNF160	FLJ00032
GPER1	CMKRL2
ZNF624	ZNF624
PCBP2P2	PCBP2P2
CCT6B	TCPW
PHLPP1	PHLP1
KLHL18	FLJ13703
LSM14B	RAP55B
ENAH	MENA
CLIP2	WSCR3
ARHGAP42	GRAF3
MIR5705	HSAMIR5705
CT83	CT83
TMEM179B	TMEM179B
TRQTTG81	TRQTTG81
PRAMEF29P	PRAMEF29P
FBXW11	FBW1B
HASPIN	HASP
BMP2K	DKFZP434K0614
UPP2	UPASE2
RFX7	FLJ12994
NUDT6	NUDT6
SNORD13	SNORD13A
NEDD1	GCPWD
RNU47P	RNU47P
NT5C2	GMP
IGLVV66	IGLV(V)66
C6	CO6
PPEF2	PPEF2
DNAJA3	HTID1
RPS6KB1	STK14A
RPL15P3	RPL15P3
BCL2L11	BIMEL
SEC11A	SID2895
IFI27	ISG12
DFNA58	DFNA58
DAW1	ODA16
RPS4XP10	RPS4XP10
DDT	MIF2
TMEM51	TMM51
CS	CS
BCL9L	B9L
NPR1	NPR1
UBXN7	UBXD7
SLC10A4	MGC29802
LINC01943	LINC01943
PCIF1	PCIF1
LINC00354	LINC00354
NYS4	NYS4
CNNM3	CNNM3
CNOT4	NOT4
MTHFD2P6	MTHFD2P6
ADAMTS5	ATS5
UTP6	C17ORF40
SLC27A5	FATP5
WDR87	NYDSP11
BIRC5	API4
HTRA4	FLJ90724
GPKOW	GPATC5
RPS10	MGC88819
TTLL13P	TTLL13P
FAM20A	FA20A
CYB5AP2	CYB5P2
ZC3H12A	MCPIP1
DHTKD1	KIAA1630
ZNF441	ZNF441
MIR4251	HSAMIR4251
FRG1BP	BA348I14.2
SMIM17	SMIM17
HOTAIRM1	NCRNA00179
GSTZ1	MAAI
SRSF11	SFRS11
GOLGA7	GOLGA3AP1
RNA5SP289	RNA5SP289
ZSCAN22	ZSCAN22
RN7SL105P	RN7SL105P
GABARAPL1	GEC1
UVSSA	UVSSA
RC3H2	FLJ20301
BAK1P1	BAK1P1
MIR485	MIR485
OR7A11P	OR7A11
MON1A	SAND1
PRKCE	PRKCE
TBCEL	LRRC35
PLEKHA3	PKHA3
SNRPD2P2	SNRPD2P2
DCAF17	DCAF17
LINC02270	LINC02270
PLAG1	ZNF912
MTND6P31	MTND6P31
COX6CP2	DJ894K16.1
TAGLN2	HA1756
CYP2A6	CYP2A6
OSTF1	OSF
MYBPC3	FHC
CTDSPL	HYA22
USP4	UNP
NMNAT2	KIAA0479
RNU661P	RNU661
DBET	DUX4L30
ACP6	ACP6
OGT	MGC22921
CYCSP12	HCP12
REL	CREL
CMYA5	TRIM76
CEACAM16	CEA16
TRBV55	TCRBV5S3A2T
TNFAIP8	SCCS2
FAU	FUBI
SLC12A6	S12A6
LINC01029	LINC01029
ST13P21	ST13P21
PHC3	FLJ12729
GRK4	GPRK4
AVEN	PDCD12
TRCGCA24	TRCGCA24
GALNT13	GLT13
ATP6V0CP2	ATP6V0CP2
SNAI1	SNAH
CLRN3	USH3AL1
UBE3D	DKFZP434A1520
PFAS	PUR4
RNU6301P	RNU6301P
YWHAQ	1433
OR5AK2	O5AK2
NPY4R2	NPY42
HNRNPL	B4DVF8
OR4A12P	OR4A12P
RNU128P	RNU18
LINC01615	LINC01615
FRMPD2B	PDZK5A
PRR26	C10ORF108
RNU65P	RNU65P
CCDC6	TST1
DPPA4	FLJ10713
MIR161	MIR161
SIRPA	PTPNS1
ALS3	ALS3
TRHGTG11	TRNAHISGTG11
TXNP4	TXNP4
UGP2	UGP1
NAP1L1	NRP
PPA1	SID68061
CLEC12A	CLEC12A
PCDHB13	PCDHBETA13
TRDGTC27	TRNAD14
NBDY	NOBODY
DCX	DCX
RAD54L	RAD54
SLC49A3	FLJ22269
YIPF3	DJ337H4.3
DMRTA1	DMRTA1
CWC25	FLJ20291
OR1D2	OR174
SPTY2D1OS	SPTOS
TNFAIP8	TFIP8
HNRNPA1P22	HNRNPA1P22
GP1BA	GP1BA
ELOCP6	TCEB1P6
TGM1	LI1
FTH1P2	FTHL2
PLK4	PLK4
GPR137C	TM7SF1L2
PRSS2	A6XMV9
TRIAAT72	TRNAILEAAT72
P4HB	P4HB
PAM	PHM
DNAH12	DNAHC3
RNU644P	RNU644P
LINC01040	LINC01040
NPBWR1	GPR7
MIR3182	MIR3182
LINC00428	LINC00428
RNU5B1	RNU5B
SNORD1158	SNORD1158
IFT27	BBS19
SNX29P1	RUNDC2B
LINC01082	LINC01082
INO80BWBP1	J3KQ70
ACSM1	ACSM1
LBHD1	MGC2477
SCGB2A2	UGB2
ELMO1	CED12
SLC30A10	ZNT8
SNRPCP1	SNRPCP1
EPB41L3	DAL1
FAM205A	FAM205A
GOLGA8K	GOLGA8K
CLINT1	EPN4
TRSACT11	TRSACT11
UNC119B	U119B
MIR13026	HSAMIR13026
SLC41A2	SLC41A2
TGM1	TGASE
ZNF433	FLJ40981
FOXB2	BA159H20.4
NQO1	NMOR1
MIR613	MIRN613
AKAP5	AKAP79
RASSF3	RASSF3
CDC20P1	CDC20P
RBL1	P107
CASC16	LINC00918
RC3H1	RNF198
CD24	CD24A
FABP3	FABPH
SCN11A	NAN
ZMYND8	RACK7
RPS14P8	RPS14P8
APCDD1L	FLJ90166
EPG5	KIAA1632
RTN3P1	RTN3PS
TMED3	P24G4
PFN1P10	PFN1P10
FAM120C	FAM120C
AGR3	HAG3
SRGAP3AS1	SRGAP3AS1
MIR3189	MIR3189
LINC02266	LINC02266
TULP3P1	TULP3P1
GULP1	GULP1
H4C2	H4/I
MED14P1	CRSP2P
IGLVIV65	IGLV(IV)65
CEMIP2	CEMIP2
KANK2	ANKRD25
MIR4660	HSAMIR4660
IGLV657	IGLV657
PIP4K2A	PIP5KIIA
CRX	LCA7
USH1G	ANKS4A
TSPY13P	TSPY13P
SPAG11B	EP2C
ADGRF5	ADGRF5
TSC2	TSC4
SOCS6	SSI4
SGK3	SGKL
LINC00388	LINC00388
CFAP299	C4ORF22
CDC42EP3	CDC42EP3
DSC2	DSC2
MEIKIN	MEIKIN
MIR567	MIR567
TTR	PALB
FOXD1AS1	FOXD1AS1
EEF1A1P20	EEF1A1P20
PYURF	PYURF
RPL34P10	RPL34P10
RNU28P	RNU28P
PCDHB9	PCDB9
SPTBN1	SPTB2
NUBP1	NBP1
POLE3	YBL1
NAA38	PFAAP2
PPP1R13L	RAI
DCHS1	FLJ11790
RNA5SP328	RN5S328
DDC	DDC
OR7E93P	OR7E131P
TAF9	TAF2G
MTND4P9	MTND4P9
RBBP4P3	RBBP4P3
PRELID3A	FLJ31484
LINC02395	LINC02395
CCR4	CCCKR4
KNDC1	FLJ25027
CLEC12A	CL12A
RAD51	HSRAD51
TBL2	WBSCR13
IL3	MGC79399
FAM149B1	F149B
RPLP0P1	DJ777L9.2
DMRT1	CT154
NAPSB	NAP1L
RNU6940P	RNU6940P
SUGT1	SUGT1
MYOT	TTID
CDC40	PRPF17
SH2B3	IDDM20
CLIC4	CLIC4
CAPN12	CAPN12
RCN2	ERC55
UBXN7	KIAA0794
CFAP65	CFAP65
HGH1	FAM203B
FAM24B	FA24B
CDH3	PCAD
UBAP2L	KIAA0144
OR2M1P	OST037
CRB3	CRB3
DOCK4AS1	DOCK4AS1
TLX1NB	TDI
USP17L3	USP17L3
C1QTNF3	CORS
RNA5SP340	RN5S340
HLADMB	D6S221E
PAM16	PAM16
SLTM	FLJ13213
SIL1	ULG5
CLCN2	CLCN2
UGT1A9	LUGP4
C2ORF74	LOC339804
CFHR3	CFHL3
TRQCTG101	TRNAQ26
VIS1	VIS1
TRKCTT21	TRKCTT21
KIAA1755	KIAA1755
RLF	ZN15L
CLUHP3	KIAA0664P3
RASGRF1	HGRF55
C6ORF226	CF226
FAM71E2	C19ORF16
FAM43B	FAM43B
TSPAN15	TM4SF15
RNU672P	RNU672P
WDR82P2	WDR82P2
MIB2	SKELETROPHIN
SNRPCP14	SNRPCP14
BORCS8	BORCS8
CALR4P	CALR4P
KRTAP99	KRTAP99
SERPINA4	KLST
RNU6497P	RNU6497P
IL12RB2	I12R2
ZNF76	D6S229E
OR5G3	OR5G3P
KDM5D	HY
PPP3CA	PPP3CA
ULK4P3	FAM7A3
SEC61B	SC61B
PRXL2C	PRXL2C
DOP1A	DOP1A
STAMBP	STABP
GSE1	KIAA0182
MIR3907	MIR3907
